"est","se","ci_low","ci_high","effect","model","class_id","pval","tau2","QEp","k","method","estimand","context"
0.0489778117918095,0.00440424140078334,0.0403456572670539,0.0576099663165651,"egoXaltX_gender_m_sd","model_1","Summary",9.95986620474216e-29,0.000215505634844148,5.9608956917382e-05,17,"REML","dynamic","creation"
0.0223741417699733,0.00278816755539838,0.0169094337785294,0.0278388497614173,"egoXaltX_gender_m_sd","model_2","Summary",1.01794100394925e-15,2.38011987171983e-06,0.21053529707373,17,"REML","dynamic","creation"
0.0261314217377677,0.00300177830557568,0.0202480443692657,0.0320147991062697,"egoXaltX_gender_m_sd","model_3","Summary",3.16697639855666e-18,3.23268108296099e-05,0.0714687042067969,17,"REML","dynamic","creation"
0.0378686303879576,0.00373111250910657,0.0305557842478419,0.0451814765280734,"egoXaltX_gender_m_sd","model_4","Summary",3.33336294791124e-24,0.000125574426141372,0.0013463618990196,17,"REML","dynamic","creation"
6.73384819459909e-05,0.000163353526119376,-0.00025282854599561,0.000387505509887592,"egoXaltX_gender_m_sd","model_5","Summary",0.680174179861675,0,0.643920127186805,17,"REML","dynamic","creation"
0.195014033128552,0.0160850563572218,0.1634879019791,0.226540164278004,"recip_fd","model_0","Summary",7.88875884320099e-34,0.00188268097283952,0.0237514047123432,17,"REML","dynamic","maintenance"
0.16337998232154,0.0156474287083148,0.132711585602585,0.194048379040495,"recip_fd","model_2","Summary",1.60543756793279e-25,0.00136560737267804,0.0692595787201176,17,"REML","dynamic","maintenance"
0.120208690149731,0.0145352276897514,0.0917201673707292,0.148697212928734,"recip_fd","model_3","Summary",1.33776924002973e-16,0.00215708340820934,0.000350748493979812,17,"REML","dynamic","maintenance"
0.115279097717701,0.0146498015548444,0.0865660142895471,0.143992181145855,"recip_fd","model_4","Summary",3.57524371835782e-15,0.0023525792834656,1.49675418539326e-05,17,"REML","dynamic","maintenance"
0.045518212404917,0.00316281802824929,0.0393192029798944,0.0517172218299395,"transTrip1_fd","model_0","Summary",5.83748619530481e-47,0,0.7869526226681,17,"REML","dynamic","maintenance"
0.0397111500492424,0.00345553807348219,0.0329384198780104,0.0464838802204744,"transTrip1_fd","model_2","Summary",1.44670379633163e-30,0,0.940408009029062,17,"REML","dynamic","maintenance"
0.0438027776392281,0.00313477759729054,0.0376587264489957,0.0499468288294606,"transTrip1_fd","model_3","Summary",2.27283489793968e-44,0,0.905545252360565,17,"REML","dynamic","maintenance"
-0.0922814824031516,0.00975913379789798,-0.111409033167339,-0.073153931638964,"interaction_sd","model_0","Summary",3.20226952818073e-21,0,0.944018600742615,17,"REML","dynamic","maintenance"
-0.0889167307414362,0.0106711443551793,-0.109831789351416,-0.0680016721314569,"interaction_sd","model_2","Summary",7.91891916882092e-17,0,0.939011837510841,17,"REML","dynamic","maintenance"
0.0732191092041982,0.00967604600935884,0.0542544075131024,0.092183810895294,"X_primary","model_1","Summary",3.81799456601751e-14,0.000781633241916221,0.00679775283304951,17,"REML","dynamic","maintenance"
0.0575540085933281,0.0072176074309138,0.0434077579741884,0.0717002592124678,"X_primary","model_2","Summary",1.53480558125732e-15,3.62322250620766e-06,0.457070897140272,17,"REML","dynamic","maintenance"
0.0631418156297715,0.00745717573985784,0.0485260197532643,0.0777576115062786,"X_primary","model_3","Summary",2.51241614189787e-17,0,0.658657468558772,17,"REML","dynamic","maintenance"
0.0560185923285425,0.00674086929298522,0.0428067312897995,0.0692304533672855,"X_primary","model_4","Summary",9.54668434089367e-17,9.08116204093482e-05,0.289554263500537,17,"REML","dynamic","maintenance"
